Appareil suivi;Consommation annuelle  AN1;Consommation annuelle AN2;Type;Consommation totale
Téléviseurs;24,6;23,2;SECONDAIRE;47.8
Téléviseurs;0,0;40,0;SECONDAIRE;40.0
Téléviseurs;11,3;21,8;SECONDAIRE;33.1
Téléviseurs;13,9;10,5;SECONDAIRE;24.4
Téléviseurs;10,4;9,0;SECONDAIRE;19.4
Téléviseurs;5,1;5,2;SECONDAIRE;10.3
Téléviseurs;3,5;4,7;SECONDAIRE;8.2
Périph_Internet_réseaux;122,7;153,8;SERVEUR;276.5
Périph_Internet_réseaux;76,3;76,2;SERVEUR;152.5
Périph_Internet_réseaux;44,4;42,8;SWITCH ETHERNET;87.19999999999999
Lave linge;134,3;282,4;SÉCHANTE;416.7
Lave linge;93,7;230,2;SÉCHANTE;323.9
Lave linge;36,9;39,1;SÉCHANTE;76.0
Lave linge;13,3;3,8;SÉCHANTE;17.1
Tablettes_smartph;5,6;10,4;TABLETTE;16.0
Tablettes_smartph;3,9;1,4;TABLETTE;5.3
Lave linge;172,0;188,8;TOP;360.8
Lave linge;176,1;176,9;TOP;353.0
Lave linge;138,1;126,8;TOP;264.9
Lave linge;89,5;131,9;TOP;221.4
Lave linge;96,0;93,7;TOP;189.7
Lave linge;94,1;88,1;TOP;182.2
Lave linge;120,6;39,4;TOP;160.0
Lave linge;61,9;94,0;TOP;155.9
Lave linge;86,3;67,7;TOP;154.0
Lave linge;54,2;64,0;TOP;118.2
Lave linge;53,1;62,4;TOP;115.5
Lave linge;59,9;54,3;TOP;114.19999999999999
Lave linge;55,7;44,9;TOP;100.6
Lave linge;39,8;44,6;TOP;84.4
Lave linge;38,1;40,3;TOP;78.4
Lave linge;33,6;33,4;TOP;67.0
Lave linge;29,1;26,9;TOP;56.0
Lave linge;27,4;16,8;TOP;44.2
Sécurité;40,2;42,1;VISIOPHONE;82.30000000000001
Plaques cuisson;531,6;601,2;VITROCÉRAMIQUE;1132.8000000000002
Plaques cuisson;489,9;534,3;VITROCÉRAMIQUE;1024.1999999999998
Plaques cuisson;180,5;182,8;VITROCÉRAMIQUE;363.3
Plaques cuisson;152,6;169,0;VITROCÉRAMIQUE;321.6
Plaques cuisson;166,5;151,3;VITROCÉRAMIQUE;317.8
Plaques cuisson;162,7;145,2;VITROCÉRAMIQUE;307.9
Plaques cuisson;105,5;140,5;VITROCÉRAMIQUE;246.0
Plaques cuisson;98,9;129,6;VITROCÉRAMIQUE;228.5
Plaques cuisson;57,6;82,1;VITROCÉRAMIQUE;139.7
Plaques cuisson;45,3;55,1;VITROCÉRAMIQUE;100.4
Plaques cuisson;4,7;2,4;VITROCÉRAMIQUE;7.1
Sécurité;39,9;40,9;VOLETS ROULANTS;80.8
Sécurité;23,4;23,0;VOLETS ROULANTS;46.4
Sécurité;18,4;16,9;VOLETS ROULANTS;35.3
Sécurité;2,4;3,1;VOLETS ROULANTS;5.5
Mobilité_électrique;9,2;31,0;VÉLO ÉLECTRIQUE;40.2
Mobilité_électrique;22,1;15,2;VÉLO ÉLECTRIQUE;37.3
Mobilité_électrique;11,9;8,9;VÉLO ÉLECTRIQUE;20.8
Mobilité_électrique;6,8;7,8;VÉLO ÉLECTRIQUE;14.6
Mobilité_électrique;4,1;1,1;VÉLO ÉLECTRIQUE;5.199999999999999
